Deployment Name ,Store/Kitchen Name ,User Name ,Date,Transaction Number ,Item Code ,Item Name ,Category Name,Super Category Name,Comment ,Quantity ,Unit ,Unit Price ,Amount,Source  
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,26-11-2025,193,RAW0000014,Milk - Regular,RM BEVERAGES - MILK PRODUCTS,RAW MATERIAL,Research & Development,1800,GM,0.07,131.63,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,25-11-2025,192,RAW0000002,Beans - Volcano Blend,RM BEVERAGES - BEANS,RAW MATERIAL,Machine Calibration,36,GM,0.81,29.04,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,25-11-2025,192,RAW0000001,Beans - Master Blend,RM BEVERAGES - BEANS,RAW MATERIAL,Machine Calibration,36,GM,0.84,30.17,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,25-11-2025,192,RAW0000014,Milk - Regular,RM BEVERAGES - MILK PRODUCTS,RAW MATERIAL,Food Wastage,1700,GM,0.07,124.32,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,25-11-2025,192,RAW0000077,Chipotle Chicken Mozzarella Pide Base,RM FOOD - NON VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,1,PCS,80.8,80.8,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,25-11-2025,192,RAW0000078,Chipotle Chicken,RM FOOD - NON VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,100,GM,0.87,87.31,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,25-11-2025,192,RAW0000080,Roasted Chicken Mac & Cheese,RM FOOD - NON VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,125,GM,0.79,98.93,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,25-11-2025,192,RAW0000104,Rocky Road & Pecan Muffin,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,1,PCS,105.68,105.68,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,25-11-2025,192,RAW0000107,Parsley Chopped,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,19,GM,0.46,8.74,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,25-11-2025,192,RAW0000136,Mexican Rice Mix,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,420,GM,0.2,82.49,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,25-11-2025,192,RAW0000085,Meatball Melts,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,3,PCS,126.15,378.46,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,25-11-2025,192,RAW0000154,Chocolate Truffle Pastry,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,1,PCS,56.36,56.36,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,25-11-2025,192,RAW0000111,Chipotle Mayo,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,75,GM,0.28,20.93,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,25-11-2025,192,RAW0000119,Blanched Broccoli Floret,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,40,GM,0.48,19.06,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,25-11-2025,192,RAW0000112,Basil Pesto Sauce,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,50,GM,0.73,36.3,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,25-11-2025,192,RAW0000126,Aop Veggie Mix,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,300,GM,0.65,194.06,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,25-11-2025,192,RAW0000120,Aop Spice Mix,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,170,GM,0.83,141.04,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,23-11-2025,191,RAW0000005,Beans - Ethiopian Single Estate,RM BEVERAGES - BEANS,RAW MATERIAL,Machine Calibration,36,GM,3.16,113.9,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,23-11-2025,191,RAW0000002,Beans - Volcano Blend,RM BEVERAGES - BEANS,RAW MATERIAL,Machine Calibration,36,GM,0.81,29.04,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,23-11-2025,191,RAW0000001,Beans - Master Blend,RM BEVERAGES - BEANS,RAW MATERIAL,Machine Calibration,36,GM,0.84,30.17,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,23-11-2025,191,RAW0000014,Milk - Regular,RM BEVERAGES - MILK PRODUCTS,RAW MATERIAL,Food Wastage,2500,GM,0.07,182.82,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,22-11-2025,190,RAW0000002,Beans - Volcano Blend,RM BEVERAGES - BEANS,RAW MATERIAL,Machine Calibration,36,GM,0.81,29.04,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,22-11-2025,190,RAW0000001,Beans - Master Blend,RM BEVERAGES - BEANS,RAW MATERIAL,Machine Calibration,36,GM,0.84,30.17,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,22-11-2025,190,RAW0000014,Milk - Regular,RM BEVERAGES - MILK PRODUCTS,RAW MATERIAL,Food Wastage,2400,GM,0.07,175.5,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,21-11-2025,189,RAW0000014,Milk - Regular,RM BEVERAGES - MILK PRODUCTS,RAW MATERIAL,Food Wastage,730,GM,0.07,53.38,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,21-11-2025,189,RAW0000002,Beans - Volcano Blend,RM BEVERAGES - BEANS,RAW MATERIAL,Machine Calibration,36,GM,0.81,29.04,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,21-11-2025,189,RAW0000001,Beans - Master Blend,RM BEVERAGES - BEANS,RAW MATERIAL,Machine Calibration,18,GM,0.84,15.09,,
